UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Crypto Magician,@CryptoEarner968,2021-12-02T23:27:21.000Z,"Crypto Magician
@CryptoEarner968
·
3 Dec 2021","Check Out latest TV INTERVIEW Of 
@Shibtoken
  @cheddar
 News

#shibainu #ShibaArmy #shibacoin #shibabrothers 

#NFTCommunity #NFT #PlayToEarn #P2E #Metaverse #Rent2Earn 
#cryptocurrency #Bitcoin #Ethereum 

#Binance
@kucoincom
@MEXC_Global
@ZssBecker
@bezoge
 
#BezogeArmy 
#Bezoge
57
2K
1.9K",,57,2K,1.9K,['https://pbs.twimg.com/ext_tw_video_thumb/1466549452567687180/pu/img/m2CR8pW-aZ_PEIzV.jpg'],https://twitter.com/CryptoEarner968/status/1466549579692732416
Count Bitcoin WGMI - Cheers to the New Year!,@CountBitcoin,2021-12-02T23:51:00.000Z,"Count Bitcoin WGMI - Cheers to the New Year!
@CountBitcoin
·
3 Dec 2021","GTFOH with this Trash!  

#Bitcoin is the 

The rest of the title reads:  Just like Gold
1
1
4",🍻 🥂 👑,1,1,4,['https://pbs.twimg.com/media/FFpAey7XsAkeBi8?format=jpg&name=small'],https://twitter.com/CountBitcoin/status/1466555530625761283
CK,@CryptoKnight3,2021-12-02T23:51:02.000Z,"CK
@CryptoKnight3
·
3 Dec 2021","Why do we get these dips ? What you think ?  #bitcoin
2
1
4",,2,1,4,['https://pbs.twimg.com/media/FFpAfOgXMAQ0-NP?format=jpg&name=small'],https://twitter.com/CryptoKnight3/status/1466555539064713218
I Nuklear I,@INuklearI,2021-12-02T23:44:01.000Z,"I Nuklear I
@INuklearI
·
3 Dec 2021","And now we are into the NFT game

#nfts #nft #nftart #nftartist #nftcollector #cryptoart #digitalart #nftcommunity #art #crypto #ethereum #blockchain #cryptocurrency #cryptoartist #opensea #nftcollectors #bitcoin #nftdrop #nftcollectibles #artist #d #eth #openseanft #nftartists
I Nuklear I
@INuklearI
 · 3 Dec 2021
#nfts #nft #nftart #nftartist #nftcollector #cryptoart #digitalart #nftcommunity #art #crypto #ethereum #blockchain #cryptocurrency #cryptoartist #opensea #nftcollectors

https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/72241930905839716199028650378749091379264673650738175584945069160762544488449/…
1
14",,,1,14,['https://pbs.twimg.com/profile_images/1258706421031612417/tUtDdx4m_mini.jpg'],https://twitter.com/INuklearI/status/1466553772822253568
agus artemiss,@CryptoizOffice,2021-12-02T23:52:58.000Z,"agus artemiss
@CryptoizOffice
·
3 Dec 2021","coins that are dropping now
$ADA $SANTOS $BADGER $STX $UNI

#Binance #Bitcoin #cryptoiz
@CardanoStiftung
 
@LuisSantosoffic
 
@BadgerDAO
 
@Stacks
 
@Uniswap
167
139
123",,167,139,123,['https://pbs.twimg.com/media/FFpA7fZVEAAtgw9?format=jpg&name=900x900'],https://twitter.com/CryptoizOffice/status/1466556025033531394
Shibetoshi Nakamoto,@BillyM2k,2021-12-02T23:46:29.000Z,"Shibetoshi Nakamoto
@BillyM2k
·
3 Dec 2021","Replying to 
@MrStevenSteele_
Bitcoin to 700 trillion dollars 
Ethereum to 900000 quadrillion dollars 
Dogecoin to 8000000000 septillion dollars
71
49
817",,71,49,817,[],https://twitter.com/BillyM2k/status/1466554395525476352
Kevin Svenson,@KevinSvenson_,2021-12-02T23:52:21.000Z,"Kevin Svenson
@KevinSvenson_
·
3 Dec 2021","Is #Bitcoin hibernating???
54
15
321",,54,15,321,[],https://twitter.com/KevinSvenson_/status/1466555870326648832
"Mike Zaccardi, CFA, CMT",@MikeZaccardi,2021-12-02T23:47:27.000Z,"Mike Zaccardi, CFA, CMT
@MikeZaccardi
·
3 Dec 2021","Bitcoin. Under the 50dma, ugly flat 200dma. At trendline support. 
Not many folks talking about the elder crypto statesman recently. #bitcoin $BTCUSD
1
2
12",,1,2,12,['https://pbs.twimg.com/media/FFo_oeQXwAM1CKm?format=png&name=small'],https://twitter.com/MikeZaccardi/status/1466554635653730317
Moon,@paywithmoon,2021-12-02T23:26:44.000Z,"Moon
@paywithmoon
·
3 Dec 2021","Name someone that isn't allowed to use the #Bitcoin network...I'll wait
5
1
8",,5,1,8,[],https://twitter.com/paywithmoon/status/1466549423878643716
INCRYPTOIBELIEVE,@INCRYPTOIBELIE1,2021-12-02T23:35:24.000Z,"INCRYPTOIBELIEVE
@INCRYPTOIBELIE1
·
3 Dec 2021","$kda losing volume, people selling for no reason. Bitcoin still ranging to. So  not btcs fault. Sad
11
1
7",,11,1,7,[],https://twitter.com/INCRYPTOIBELIE1/status/1466551604677644296
