UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tom Arnold,@TomArnold,2021-12-02T20:35:27.000Z,"Tom Arnold
@TomArnold
·
3 Dec 2021","The Handmaid’s Tale is produced by Donald Trump’s creator, business partner, best friend, anti LGBTQ, anti choice, anti people of color but pro insurrection & sexual assault, the never held accountable fake Hollywood Christian “Anything For Money” Mark Burnett.
55
208
810",,55,208,810,[],https://twitter.com/TomArnold/status/1466506320580788228
Ted Boutrous,@BoutrousTed,2021-12-02T22:40:03.000Z,"Ted Boutrous
@BoutrousTed
·
3 Dec 2021","We have just filed 
@MaryLTrump
’s motion to dismiss former President Donald Trump’s baseless SLAPP lawsuit against her and The New York Times and its reporters for publishing the truth about him and his finances and taxes. Here is our brief: https://gibsondunn.com/wp-content/uploads/2021/12/AS-FILED-2021-12-02-MOL-ISO-Mary-L-Trump-MTD.pdf….  1/3
33
667
3.5K",,33,667,3.5K,[],https://twitter.com/BoutrousTed/status/1466537673984643073
2022 NATIONAL CHAMPION GEORGIA BULLDOGS,@kevintbull,2021-12-02T22:16:35.000Z,"2022 NATIONAL CHAMPION GEORGIA BULLDOGS
@kevintbull
·
3 Dec 2021","Those fries voted for Donald Trump
#FTMF
@onlyonejj22
 · 3 Dec 2021
Be jealous…
4
5
11",,4,5,11,"['https://pbs.twimg.com/profile_images/1464401562772688896/tjhgoMWi_mini.jpg', 'https://pbs.twimg.com/media/FFojqzHXwAciuTO?format=jpg&name=small']",https://twitter.com/kevintbull/status/1466531770187276291
All In with Chris Hayes,@allinwithchris,2021-12-02T20:13:27.000Z,"All In with Chris Hayes
@allinwithchris
·
3 Dec 2021","A New Hampshire man who threatened to hang 6 members of Congress if they did not ""get behind Donald Trump"" will spend 33 months in federal prison, according to officials.
nbcnews.com
Man sentenced for threatening to hang 6 members of Congress if they didn't 'get behind' Trump
A New Hampshire man who threatened to hang six members of Congress if they did not ""get behind Donald Trump"" will spend 33 months in federal prison, according to officials.
11
70
269",,11,70,269,['https://pbs.twimg.com/card_img/1481695365732519937/XcHwNpr1?format=jpg&name=small'],https://twitter.com/allinwithchris/status/1466500781226479625
The Republican Accountability Project,@AccountableGOP,2021-12-02T22:21:18.000Z,"The Republican Accountability Project
@AccountableGOP
·
3 Dec 2021",".
@LindseyGrahamSC
 says “there has been no more influential person on conservatism and the Republican party than Donald Trump since Ronald Reagan” and unambiguously concludes that the GOP “is the party of Donald Trump.”
386
123
166",,386,123,166,['https://pbs.twimg.com/amplify_video_thumb/1466532099427610634/img/z7dBwhpRaqrKgecy.jpg'],https://twitter.com/AccountableGOP/status/1466532958932803586
63 Blue Vet,@63_vet,2021-12-02T22:31:38.000Z,"63 Blue Vet
@63_vet
·
3 Dec 2021","Senate Republicans only care about Senate Republicans. Just like Donald Trump only cares about Donald Trump. It’s no longer about the people. That’s the problem. VOTE THEM THE HELL OUT!
GIF
2
9
18",,2,9,18,['https://pbs.twimg.com/tweet_video_thumb/FFouUI0X0AMPLbI.jpg'],https://twitter.com/63_vet/status/1466535559074045956
ACTforAmerica,@ACTforAmerica,2021-12-02T23:00:32.000Z,"ACTforAmerica
@ACTforAmerica
·
3 Dec 2021","Waukesha parade suspect rapped ‘f**k Donald Trump’
brigittegabriel.com
Waukesha parade suspect rapped ‘f**k Donald Trump’ — Brigitte Gabriel
It appears that the Waukesha suspect Darrell Brooks is a career criminal and a supporter of Black Lives Matter…
22
74
118",,22,74,118,['https://pbs.twimg.com/card_img/1481987581680271366/Lp59-aI-?format=jpg&name=240x240'],https://twitter.com/ACTforAmerica/status/1466542829220601869
Khashoggi’s Ghost,@UROCKlive1,2021-12-02T22:37:14.000Z,"Khashoggi’s Ghost
@UROCKlive1
·
3 Dec 2021","Imagine someone who calls themselves a ""Christian"" worshipping at the altar of Donald Trump.

Oh ... I guess you don't have to imagine it. It's happening all over the country.

#ETTD. This will include the GOP. Will it also include Christianity in America?
Acyn
@Acyn
 · 3 Dec 2021
“I say to my Republican colleagues it’s time to show up to work and stop worshiping at the altar of Donald Trump for five minutes long enough to do your job”
18
79
272",,18,79,272,"['https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1466518884190605317/pu/img/puTixeIw3C8WOa7h.jpg']",https://twitter.com/UROCKlive1/status/1466536966317502465
English Flowers,@FlowersEnglish,2021-12-02T23:13:15.000Z,"English Flowers
@FlowersEnglish
·
3 Dec 2021","Donald Trump complains that Boris Johnson is now ‘on the more liberal side’ WELL SAID HE IS LABOUR LITE-ON IMMIGRATION HE LIED AS WE KNOW, HE WANTS AMNESTY FOR 1.2 MILLION ILLEGALS. AND TORY HEAVY ON THE OLD WHITE FOLK/ETC.
msn.com
Donald Trump complains that Boris Johnson is now ‘on the more liberal side’
Donald Trump complains that Boris Johnson is now ‘on the more liberal side’ -
2
8
15",,2,8,15,['https://pbs.twimg.com/card_img/1481242161022521345/O4lwPOMU?format=jpg&name=small'],https://twitter.com/FlowersEnglish/status/1466546031609352195
tom,@lonestarmoocher,2021-12-02T23:55:58.000Z,"tom
@lonestarmoocher
·
3 Dec 2021","Donald Trump has finally cornered the Market on 
CLOWN TIES . 
Well done Lumpy
1
1
14",🌊,1,1,14,[],https://twitter.com/lonestarmoocher/status/1466556778699649024
