UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ethereum Fear and Greed Index,@EthereumFear,2021-12-03T23:30:13.000Z,"Ethereum Fear and Greed Index
@EthereumFear
·
4 Dec 2021","Ethereum Fear and Greed Index is 43 ~ Neutral
Current price: $4,227
https://opensea.io/assets/0x7fa81362a0fb53e1ed6cd882c83b76572b5fa7aa/43…
https://etherscan.io/token/0x7fa81362a0fb53e1ed6cd882c83b76572b5fa7aa?a=43…
7
14
160",,7,14,160,['https://pbs.twimg.com/media/FFuFUNhWUAQup62?format=jpg&name=small'],https://twitter.com/EthereumFear/status/1466912688089575430
eric.eth,@econoar,2021-12-03T22:56:49.000Z,"eric.eth
@econoar
·
4 Dec 2021","If you think that Solana is somehow “safer” than Ethereum, well, you’re just a fool.
Neodyme
@Neodyme
 · 4 Dec 2021
We recently discovered a critical bug in the token-lending contract of the solana-program-library (SPL). This blog post details our journey from discovery, through exploitation and coordinated disclosure, and finally the fix.
Show this thread
24
15
233",,24,15,233,[],https://twitter.com/econoar/status/1466904283769499653
Flying Crypto's | Technical Analysis,@FlyingCryptos,2021-12-03T23:47:14.000Z,"Flying Crypto's | Technical Analysis
@FlyingCryptos
·
4 Dec 2021","The Big Announcement. I present to you, Ademaro. Which stands for ""Wealth, Fortune and Fame"" at http://CryptoTies.com - Designer Litecoin, Bitcoin and Ethereum ties. The platform launches in January! Pre-orders ""might"" be available before that. $LTC #Litecoin #Bitcoin
11
50
79",,11,50,79,[],https://twitter.com/FlyingCryptos/status/1466916971774197764
noah611.919,@noah611919,2021-12-03T23:01:46.000Z,"noah611.919
@noah611919
·
4 Dec 2021","Don't panic, there's no crash. Stop trading short term, with a stop loss or with leverage. This dump is just to get the bottom of the orderblocks not the top. It's a stop hunt ... Look, have a laugh at these loser market makers. #bitcoin #ethereum #litecoin #cardano #mana #crypto
6
7
16",,6,7,16,"['https://pbs.twimg.com/media/FFt-y1PWUAQOZmv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FFt-zNvWUAMk8Z1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FFt-y_wXIAsYoOb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FFt-zYmXwAs30R_?format=jpg&name=360x360']",https://twitter.com/noah611919/status/1466905526873247752
200 Keys,@the200keys,2021-12-03T22:16:31.000Z,"200 Keys
@the200keys
·
4 Dec 2021","We moved to Polygon so you don't have to worry about ETH GAS fees anymore
You can mint 200 Keys using 3 different methods!

Using MATIC on Polygon (default)
Using ETH on Ethereum
Using MATIC on Ethereum
For all minting methods, the NFT will be minted on the Polygon network.
2
10
16",➡ ➡ ➡,2,10,16,['https://pbs.twimg.com/media/FFt0ao-WYAcYkcV?format=jpg&name=small'],https://twitter.com/the200keys/status/1466894142634610691
Crypto World,@CryptoWorldJosh,2021-12-03T23:37:54.000Z,"Crypto World
@CryptoWorldJosh
·
4 Dec 2021","#Ethereum is looking strong, forming it's first higher low 
18
13
205",👀,18,13,205,[],https://twitter.com/CryptoWorldJosh/status/1466914622846300161
TheLandDAO,@TheLandDAO,2021-12-03T22:44:44.000Z,"TheLandDAO
@TheLandDAO
·
4 Dec 2021","Stay tuned for our upcoming contest...

This contest will have speed involved (50 Private #Discord Invites will be up for grabs)

Be Ready

!Nomad
$RENT

#NFT #NFTArt #NFTCommunity #Ethereum #ETH #1ETH #NFTCollector #Genesis #Stealth #Mint #NFTs
23
20
67",👀,23,20,67,[],https://twitter.com/TheLandDAO/status/1466901240227549192
CatalystK,@Hoops2Code,2021-12-03T23:47:07.000Z,"CatalystK
@Hoops2Code
·
4 Dec 2021","I prefer 
@solana
 over 
@ethereum
 simply bc of the speed and extremely lower fees. But I am hoping that the move to POS along w/ 2.0 lower gas fees considerably
3
1",💻 💰 💎,3,,1,[],https://twitter.com/Hoops2Code/status/1466916942288142339
LATOKEN,@latokens,2021-12-03T23:12:53.000Z,"LATOKEN
@latokens
·
4 Dec 2021","Cardano $ADA has hit the 20 million transactions milestone! 

ADA has grown 1200% in 2021 so far, outperforming both Bitcoin and Ethereum.
latoken.com
Know more about Cardano and trade ADA on LATOKEN 
54
43
84",🚀 📲,54,43,84,['https://pbs.twimg.com/media/FFuARygVQAEEdF4?format=jpg&name=small'],https://twitter.com/latokens/status/1466908325644099587
DooEthereum,@Dooether,2021-12-03T23:19:26.000Z,"DooEthereum
@Dooether
·
4 Dec 2021","I think We (Defi Degens, Hodlers, and NFT Degens) all agree that metamask gotta airdrop us some tokens for all the gas fees they been taking from us for YEARS! Just putting it out there 
@MetaMask
 @ethereum
 $eth $nft $defi $HODL
3
1",😊,3,1,,[],https://twitter.com/Dooether/status/1466909974702043146
