UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dominic Alvieri,@AlvieriD,2021-12-02T21:52:30.000Z,"Dominic Alvieri
@AlvieriD
·
3 Dec 2021","Square rebranded to Block Inc.

The top 5 new registered Block domains:

login-block[.]com
login-block[.]net
login-block[.]org

block-login[.]net
block-login[.]org

block-login[.]com->Ukrainian Bitcoin

#phishing 
@FBI
 #Bitcoin 
@Square
 #Block #infosec #CyberSecurity
11
4",,,11,4,['https://pbs.twimg.com/media/FFolWdgXsAYDMZg?format=jpg&name=small'],https://twitter.com/AlvieriD/status/1466525709959053315
"Raymond,Esq",@RaymondEsq2,2021-12-02T21:06:36.000Z,"Raymond,Esq
@RaymondEsq2
·
3 Dec 2021","Replying to 
@PaulDereume
 @Gdad1
  and 20 others
Thanks for the mention, Paul.  #StrongerTogether
5
5",🌊 🌊 🌊 🌊,,5,5,['https://pbs.twimg.com/media/FFoa2KWXwAYTSlP?format=png&name=small'],https://twitter.com/RaymondEsq2/status/1466514160251023362
GamiPress,@GamiPress,2021-12-02T19:59:59.000Z,"GamiPress
@GamiPress
·
3 Dec 2021","Are you looking to boost your #WordPress site traffic? Our Daily Login Rewards add-on gives you the ability to award your users for log in to your website daily. 
More info and live demo here: 
https://gamipress.com/add-ons/gamipress-daily-login-rewards/…
7
6",👇,,7,6,['https://pbs.twimg.com/media/FFoLfqOWUAow8y6?format=jpg&name=small'],https://twitter.com/GamiPress/status/1466497393587851271
Pi-Protocol,@PiProtocol,2021-12-02T19:08:25.000Z,"Pi-Protocol
@PiProtocol
·
3 Dec 2021","DON'T MISS OUR NEXT 
Pi-Treasure Hunt 

 FRIDAY DECEMBER 3RD 
3PM EST 

 TO PARTICIPATE REGISTER 
@ http://Game.pi-protocol.io

 VERIFY YOUR EMAIL  
THEN LOGIN TO REVEAL THE TREASURE HUNT HINTS TO BE REVEALED 

 JOIN OUR TELEGRAM CHANNEL 
@ http://t.me/PIProtocol
8
10
15",💎 🔮 👀 🔮 💥 💥 👇 👇,8,10,15,['https://pbs.twimg.com/media/FFn-l5IXEAQ5ZGg?format=jpg&name=small'],https://twitter.com/PiProtocol/status/1466484416214151170
Willian Almeida,@willvozeirao,2021-12-02T18:09:42.000Z,"Willian Almeida
@willvozeirao
·
2 Dec 2021","How do we create login sessions on Node?

cc 
@sseraphini
1
1
10",👺,1,1,10,[],https://twitter.com/willvozeirao/status/1466469640801038343
Mixed Up Buddies,@MixedUp_Buddies,2021-12-02T17:54:20.000Z,"Mixed Up Buddies
@MixedUp_Buddies
·
2 Dec 2021","Quick steps to Mint a 
@MixedUp_Buddies
 #NFTcollection through 
@NiftyKitApp
:
1-Go to https://mixedupbuddies.com
2-Click in Mint Button
3-Login with #Metamask Wallet in 
@NiftyKitApp
 profile for the Buddies
4- You are ready to Mint
@gabolaraleon
 @nftcubaart
 @opensea
 @NiftyKitApp
3
23
45",,3,23,45,['https://pbs.twimg.com/ext_tw_video_thumb/1466465615565275147/pu/img/DlwtXEA5vOMX2Ozi.jpg'],https://twitter.com/MixedUp_Buddies/status/1466465774709661705
dindin,@dindin6,2021-12-02T16:45:09.000Z,"dindin
@dindin6
·
2 Dec 2021","Replying to 
@PaulDereume
 @rrichterr
  and 47 others
Good morning  Have a great day Paul 
3
3
17",🌞 🐶 🦌 ⛄,3,3,17,['https://pbs.twimg.com/media/FFnekgPVkAUAMFq?format=jpg&name=small'],https://twitter.com/dindin6/status/1466448363411292163
The Street Trust,@thestreettrust,2021-12-02T15:39:07.000Z,"The Street Trust
@thestreettrust
·
2 Dec 2021","Hey members! Join us Monday at 5 to hear about the Earthquake Ready Burnside Bridge project with special guests from Multnomah County and 
@TheBigFloat
.
Login info in your latest Member Alert.
Not a member yet? Donate $40+ to help us meet our End of Year Giving goal and you’re in!
2
4",,,2,4,['https://pbs.twimg.com/media/FFnP4jZVkAA7Lad?format=jpg&name=small'],https://twitter.com/thestreettrust/status/1466431746317209601
salty ♬,@toomuchsalty,2021-12-02T18:04:58.000Z,"salty ♬
@toomuchsalty
·
2 Dec 2021","hey all! make sure that if you use websites that make you login and allow them permissions (like this) you should always go into settings and remove their permissions

i know it’s fun so i do it too lol but stay safe!

how to remove app permissions in the thread 
(｡ì _ í｡)
@ChuuMeal
 · 1 Dec 2021
https://blolook.osa-p.net/index.html?lang=en…
Show this thread
1
1
12",🧵,1,1,12,['https://pbs.twimg.com/profile_images/1477150027239862274/n5UFxI29_mini.jpg'],https://twitter.com/toomuchsalty/status/1466468450289733638
Daniel Cranney,@danielcranney,2021-12-02T22:54:30.000Z,"Daniel Cranney
@danielcranney
·
3 Dec 2021","Day 4 of #100daysofcode Round 3…

Didn’t have much time to code but I spent some time trying to fix a funny bug I’ve found on Reportr.

When logging in via 
@supabase
, users often have to click the login button twice. Strange!

Might just rebuild the auth system from scratch!
2
6
16",,2,6,16,[],https://twitter.com/danielcranney/status/1466541312920883202
冬風が身に染みるStephen Meyerink,@sjmtaelus,2021-12-02T18:45:23.000Z,"冬風が身に染みるStephen Meyerink
@sjmtaelus
·
2 Dec 2021","not me repeatedly opening the ff14 client to see when it updates and I can see the Endwalker splash login screen
2
1
11",,2,1,11,[],https://twitter.com/sjmtaelus/status/1466478621988560896
Chelleb,@chellebtoo,2021-12-02T21:32:48.000Z,"Chelleb
@chellebtoo
·
3 Dec 2021","Make sure to validate your online ticket. You can login to do that anytime.
An hour before the show, login, chat with other ARMY, set your language.  The members occasionally message in the chat room before. 
Be ready for fun.
venewlive.com
BTS PERMISSION TO DANCE ON STAGE - LA
2021.12.03 12:30(KST)
2
7",🐨 🐹 🐱 🐿 🐥 🐯 🐰,,2,7,[],https://twitter.com/chellebtoo/status/1466520752937709572
oboro enjoyer,@RABBlTMEDIUM,2021-12-02T22:45:06.000Z,"oboro enjoyer
@RABBlTMEDIUM
·
3 Dec 2021","How I sleep knowing I get to wake up and the shadowbringers login is gone 
1
1
6",😴,1,1,6,[],https://twitter.com/RABBlTMEDIUM/status/1466538947345981440
Councilman Jalen McKee-Rodriguez,@theloserteacher,2021-12-02T17:48:28.000Z,"Councilman Jalen McKee-Rodriguez
@theloserteacher
·
2 Dec 2021","Yalllllll! I’m up for San Antonio Mag’s “Best Politician”  If you haven’t voted, you can vote here. If you have, they’ll send you a link to login and vote again! You can vote once a day now until December 29.
sanantoniomag.com
Best of the City 2022 Voting
Nominate your favorites in San Antonio Magazine's Best of the City through Nov. 26 and return Dec. 1-29 to vote for the Best of the City 2022
2
7
29",😭 ❤ 🖤,2,7,29,['https://pbs.twimg.com/card_img/1476292753453690882/NuI3Dx38?format=jpg&name=small'],https://twitter.com/theloserteacher/status/1466464297748508680
INOTE,@INOTEnews,2021-12-02T18:00:02.000Z,"INOTE
@INOTEnews
·
2 Dec 2021","INOTE members can access a recording of Will Byrne's (
@CarlowBhoy88
)  Moment at http://inote.ie (login required). Using music, students were actively engaged in poetic analysis & came to a deeper appreciation of tone & language use. #EdChatIE
2
6",💡,,2,6,['https://pbs.twimg.com/media/FFNm1dBWUAMkcLu?format=jpg&name=small'],https://twitter.com/INOTEnews/status/1466467206649290754
Alex Wellman,@WellmanAlex,2021-12-02T18:37:13.000Z,"Alex Wellman
@WellmanAlex
·
2 Dec 2021","What would be the e-Estonia version of Spotify Wrapped?

""In 2021, you used your digital ID the most to login to your LHV account on Sunday mornings to make sure you didn't spend too much on A. Le Coq the night before.""
2
11",,2,,11,[],https://twitter.com/WellmanAlex/status/1466476565290704897
EGHO ¹º¹,@EGHO231,2021-12-02T18:54:07.000Z,"EGHO ¹º¹
@EGHO231
·
2 Dec 2021","I use god beg una abeg who get DSTV app login with full sub? I am pleading guys help me.
1
5
3",💛,1,5,3,[],https://twitter.com/EGHO231/status/1466480817836863488
j.m,@evrythingoose,2021-12-02T22:04:04.000Z,"j.m
@evrythingoose
·
3 Dec 2021","Replying to 
@malmaljoshim
 and 
@btsvotingorg
Army!!!

Clear your browser history then close tabs of mama. Close your browser then come back here to click the link again. You will be able to login after that. Check my latest reply to BVO for clearer wordings. I don’t love English language, :/
6
19
61",🛣 🏞,6,19,61,[],https://twitter.com/evrythingoose/status/1466528621485379585
