UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Universal Pictures PH,@UniversalPicsPH,2021-12-02T02:00:01.000Z,"Universal Pictures PH
@UniversalPicsPH
·
2 Dec 2021","""If we don't do this, there will be nothing left to save."" Watch #NoTimetoDie only in cinemas December 15.
3
4",,,3,4,['https://pbs.twimg.com/media/FFVQJoEUUAQ-j7d?format=jpg&name=small'],https://twitter.com/UniversalPicsPH/status/1466225610666172422
007collector,@007collector,2021-12-02T22:32:17.000Z,"007collector
@007collector
·
3 Dec 2021","From Japan  with Love 

Some nice Japanese No Time To Die promotion items

#jamesbond #notimetodie #bond25 #danielcraig #ramimalek #007collector
1
5",❤,,1,5,"['https://pbs.twimg.com/media/FFouWnQXoAYqkyd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FFoub_3XIAMIOWY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FFoudUKWYAgEWL2?format=jpg&name=360x360']",https://twitter.com/007collector/status/1466535722655961088
𝙏𝘼𝙌𝙐𝙄𝘽𝙊𝙓,@TaquiBox,2021-12-02T09:18:22.000Z,"𝙏𝘼𝙌𝙐𝙄𝘽𝙊𝙓
@TaquiBox
·
2 Dec 2021","RANKING 2021 en EEUU actualizado (hasta el martes)

Lo normal es que este sea el TOP antes de la llegada de #SpidermanNoWayHome

 #ShangChi ~$224M
 #Venom2 ~$213M
 #BlackWidow ~$183M
 #F9 ~$173M
 #Eternals ~$168M
 #NoTimetoDie ~$163M
 #AQuietPlace2 ~$160M
7
2
83",,7,2,83,['https://pbs.twimg.com/media/FFl4q15X0AYBv4B?format=jpg&name=small'],https://twitter.com/TaquiBox/status/1466335924229492738
Numero BoxOffice,@numeroboxoffice,2021-12-02T03:47:16.000Z,"Numero BoxOffice
@numeroboxoffice
·
2 Dec 2021","Weekly #BoxOffice Est. - New Zealand

1. #Venom #LetThereBeCarnage - $491k
2. #NoTimeToDie #Bond25 - $126k
3. #Eternals - $120k

Top10 #Movie Results: https://bit.ly/3rAYAQO
4
44",,,4,44,['https://pbs.twimg.com/media/FFknvfDUYAUim2i?format=jpg&name=small'],https://twitter.com/numeroboxoffice/status/1466252600739655681
Hollywood News In Tamil,@HollywoodTamil0,2021-12-02T08:04:06.000Z,"Hollywood News In Tamil
@HollywoodTamil0
·
2 Dec 2021","This DECEMBER Line Ups

#Encanto #RonsGoneWrong #TheLastDuel May be In Multi Languges......

#TheCommuter
#BobaFett In Dec 29th
#NoTimeToDie Dec Last
#Elite 3 New Short Stories

#RidersOfJustice Dec 17th

Theatre's

#ResidentEvilWelcometoRaccoonCity Dec 3rd

#SpiderManNoWayHome
13
20
94",💯 💥,13,20,94,['https://pbs.twimg.com/media/FFlnu98UUAYBp8_?format=jpg&name=small'],https://twitter.com/HollywoodTamil0/status/1466317235069227010
Bond on the Box,@BondontheBox,2021-12-02T16:46:48.000Z,"Bond on the Box
@BondontheBox
·
2 Dec 2021","#NoTimeToDie has been nominated for 'Best Action Film' by the Hollywood Critics Association.

#HCAFilmAwards
Hollywood Critics Association
@HCAcritics
 · 2 Dec 2021
The nominees for Best Action Film are: 

#NoTimeToDie 
#NobodyMovie 
#TheHarderTheyFall 
#TheSuicideSquad 
#ShangChi 

#HCAFilmAwards #BestActionFilm #actionmovies
1
5
24",📺 📽 📻,1,5,24,"['https://pbs.twimg.com/profile_images/1435422705415712768/eU5cSM3w_mini.jpg', 'https://pbs.twimg.com/media/FFneChLUYAs5ET5?format=jpg&name=small']",https://twitter.com/BondontheBox/status/1466448778919956482
Shaurya Chawla,@_ShauryaChawla,2021-12-02T11:41:41.000Z,"Shaurya Chawla
@_ShauryaChawla
·
2 Dec 2021","Every time M says ""get me the Prime Minister"" in NO TIME TO DIE, I chuckle cause...you mean this guy, M?
2
17",,2,,17,['https://pbs.twimg.com/media/FFmZWuZWUAYq_BB?format=png&name=small'],https://twitter.com/_ShauryaChawla/status/1466371991028613120
Chris Bebbington,@thebebbo,2021-12-02T15:16:34.000Z,"Chris Bebbington
@thebebbo
·
2 Dec 2021","The worst Bond film of all time #notimetodie #AlternativeTagLinesForFilms
2
4",,,2,4,[],https://twitter.com/thebebbo/status/1466426071100891155
Multiverso Geek,@muItiversogeek,2021-12-02T16:25:21.000Z,"Multiverso Geek
@muItiversogeek
·
2 Dec 2021","Saiu a lista dos indicados em ""Melhor Elenco de Dubles"" no HCA Film Awards, confira:

- Black Widow
- Dune
- No Time To Die
- Nobody
- Shang-Chi And The Legend Of The Ten Rings
1
17",,,1,17,['https://pbs.twimg.com/media/FFnae0AWQAI5TKe?format=jpg&name=small'],https://twitter.com/muItiversogeek/status/1466443379374542849
Luiz Fernando,@Luiz_Fernando_J,2021-12-02T21:25:40.000Z,"Luiz Fernando
@Luiz_Fernando_J
·
3 Dec 2021","On its 9th WED, #VenomLetThereBeCarnage grossed 80k, -76% drop from last Thanksgiving-boosted WED, for a 209.8M cume,just 3.7M away from 2018 #Venom’s 213.5M.
#NoTimeToDie got 131k on its 8th WED, -64%, for a 158.5M cume, just 1.7M away from #AQuietPlace2’s 160.2M at #BoxOffice.
1
2
23",,1,2,23,"['https://pbs.twimg.com/media/FFofNuGWYAIhiGD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FFofNuFWUAA9Ia_?format=jpg&name=360x360']",https://twitter.com/Luiz_Fernando_J/status/1466518955238080518
