UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lady Crypto-Lot,@cryptopumpalot,2021-12-02T17:08:53.000Z,"Lady Crypto-Lot
@cryptopumpalot
·
2 Dec 2021","XRP Top 0.01% wallets have been buying the bottom...... an FYI for retail.... 
@Ripple
5
4
13",,5,4,13,['https://pbs.twimg.com/media/FFnkTbAWQAYmCQ3?format=png&name=small'],https://twitter.com/cryptopumpalot/status/1466454334766563329
Jebus,@jebus911,2021-12-02T18:25:38.000Z,"Jebus
@jebus911
·
2 Dec 2021","The year is 2034

Your son needs money for the NFT fair at school, but you just ran out of ADA. 

You load up your ripple wallet and bicycle to Hoskinson JPMorgan Chase to make the exchange. 

Your wife asks you to pick up some Kentucky fried crickets on the way home
55
66
860",,55,66,860,[],https://twitter.com/jebus911/status/1466473648122998799
Andrew Cusick,@acusick7,2021-12-02T17:34:10.000Z,"Andrew Cusick
@acusick7
·
2 Dec 2021","THE LEFTOVERS X AS I LAY DYING

One boy's suicide ripples in time for the ones he leaves behind, with each chapter taking place deeper into the future from the POV of a different person in his life.

This is a story about dying.

And about trying to live again.

#PitMad #LF #A
7
106
9",,7,106,9,[],https://twitter.com/acusick7/status/1466460696577720324
Brandon,@Brando_WX,2021-12-02T21:29:09.000Z,"Brandon
@Brando_WX
·
3 Dec 2021","Daily reminder that the morning activity on 4/27 would've probably verified as a high risk on its own.

24 Sigs in an event would have people talking for weeks. On a day with 15 violents, this was just a ripple on the pond of such a record-breaking outbreak.
7
7
95",,7,7,95,['https://pbs.twimg.com/media/FFogA-6WYAA33v8?format=png&name=small'],https://twitter.com/Brando_WX/status/1466519831792992261
Rob XRP,@robxrp1,2021-12-02T17:37:03.000Z,"Rob XRP
@robxrp1
·
2 Dec 2021","I foresee the current XRPL issues being used in the Ripple vs SEC case as proof that the XRPL and its native asset $XRP is decentralized and not controlled by Ripple(something we already knew). I also think the issues will be resolved quickly. 
@JohnEDeaton1
 @attorneyjeremy1
50
125
871",,50,125,871,[],https://twitter.com/robxrp1/status/1466461424524218374
SamurAlgo,@SamurAlgo,2021-12-02T17:02:17.000Z,"SamurAlgo
@SamurAlgo
·
2 Dec 2021","Ripple’s silence on the #XRPL outage proves how decentralized the network is. Yes, they are investigating the situation, but the true heroes are 
@WietseWind
 @alloynetworks
 @yyolk
 and others actively working on the issue.

Sit back, relax, and let our amazing devs do their thing.
12
52
283",,12,52,283,[],https://twitter.com/SamurAlgo/status/1466452675797524484
Chris Medland,@ChrisMedlandF1,2021-12-02T22:27:28.000Z,"Chris Medland
@ChrisMedlandF1
·
3 Dec 2021","I absolutely love this story from Seb about his #Race4Women karting event today. One of many examples this year (including his Bee Hotel, Silverstone clean-up) of him trying to make a small difference and set off a ripple effect: https://racer.com/2021/12/02/vettel-aims-for-positive-change-by-hosting-karting-event-for-saudi-women/… #F1 #SaudiArabianGP
racer.com
Vettel aims for positive change by hosting karting event for Saudi women
Sebastian Vettel ran a karting event for Saudi women on Thursday in Jeddah in an attempt to bring positive change ahead of the inaugural Saudi Arabian Grand Prix. Women have only been allowed to dr…
15
169
1.4K",,15,169,1.4K,['https://pbs.twimg.com/card_img/1481727062666883076/E6KG5JS3?format=jpg&name=small'],https://twitter.com/ChrisMedlandF1/status/1466534511047491593
Digital Asset Investor Researcher/Wild Speculator,@digitalassetbuy,2021-12-02T21:20:42.000Z,"Digital Asset Investor Researcher/Wild Speculator
@digitalassetbuy
·
3 Dec 2021","Breaking! Ripple / XRP Alert! & Where Are Those Crypto Trade Groups? #xrp #xrpthestandard 
@ripple
youtube.com
Breaking! Ripple / XRP Alert! & Where Are Those Crypto Trade Groups?
Protect Yourself From Hackers: Pure VPNCyber Week Sale!Click Here: https://bit.ly/2OZlflHUnstoppable DomainsGet Yours Now!:https://bit.ly/32AFix8Secure Your ...
8
61
273",,8,61,273,['https://pbs.twimg.com/card_img/1481834669851226115/0OPLQx7D?format=jpg&name=240x240'],https://twitter.com/digitalassetbuy/status/1466517708024000521
WrathofKahneman,@WKahneman,2021-12-02T19:27:01.000Z,"WrathofKahneman
@WKahneman
·
3 Dec 2021","#Ripple partner Tranglo has partnered with Ripple user UniTeller to expand its services in 13 Asia Pacific markets inc. Bangladesh, India, Indonesia and Nepal. The press notes ""access to Ripple"" is in play.
fintechnews.my
US-Based Remittance Firm UniTeller Partners Tranglo to Expand in 13 APAC Markets - Fintech News...
UniTeller has extended its remittance services to more customers in Asia Pacific by partnering with cross-border payments specialist Tranglo.
35
91
270",,35,91,270,['https://pbs.twimg.com/card_img/1481536929728507907/TFbo9X1u?format=jpg&name=small'],https://twitter.com/WKahneman/status/1466489097317347329
OwlBat aka: Crypto Survivor,@SurvivingCrypto,2021-12-02T16:45:39.000Z,"OwlBat aka: Crypto Survivor
@SurvivingCrypto
·
2 Dec 2021","This is the same story for 
@ripple
 

#America is broken
Sabatino
@S_Andreoni
 · 9 Sep 2021
NO #SAFEBanking, means:
NO Money:
NO Opportunity:
NO Social Justice 
NO MATTER HOW YOU LOOK AT IT!

Even if small businesses manage to put together the initial HIGH INTEREST investment, they'll sink into DEEPER DEBT to pay the IRS.

Corporations HAVE CASH already.

@SenBooker
Show this thread
1",🦇,,,1,"['https://pbs.twimg.com/profile_images/1235302245689892866/pJUZ78Ny_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1436021805131706371/pu/img/SDpwkb5cso8gt1V_.jpg']",https://twitter.com/SurvivingCrypto/status/1466448486451269638
